Training start
Arguments -> train.py -lr 0.003 -b 4 -it 45 -dv 1,0 -ls BCESSIM -s 30 -au dinkaugment -wt weights/dinknet1.pth dinknet
[1,     1] loss: 1.658 time: 09-22-2019 - 07:43 AM
[1,    30] loss: 1.485 time: 09-22-2019 - 07:43 AM
[1,    59] loss: 1.131 time: 09-22-2019 - 07:43 AM
[1,    88] loss: 0.890 time: 09-22-2019 - 07:44 AM
[1,   117] loss: 0.758 time: 09-22-2019 - 07:44 AM
[1,   146] loss: 0.683 time: 09-22-2019 - 07:44 AM
[1,   175] loss: 0.628 time: 09-22-2019 - 07:45 AM
[1,   204] loss: 0.590 time: 09-22-2019 - 07:45 AM
[1,   233] loss: 0.556 time: 09-22-2019 - 07:45 AM
[1,   262] loss: 0.535 time: 09-22-2019 - 07:45 AM
[1,   291] loss: 0.516 time: 09-22-2019 - 07:46 AM
[1,   320] loss: 0.498 time: 09-22-2019 - 07:46 AM
[1,   349] loss: 0.484 time: 09-22-2019 - 07:46 AM
[1,   378] loss: 0.474 time: 09-22-2019 - 07:46 AM
[1,   407] loss: 0.465 time: 09-22-2019 - 07:47 AM
[1,   436] loss: 0.458 time: 09-22-2019 - 07:47 AM
[1,   465] loss: 0.451 time: 09-22-2019 - 07:47 AM
[1,   494] loss: 0.449 time: 09-22-2019 - 07:48 AM
[1,   523] loss: 0.440 time: 09-22-2019 - 07:48 AM
[1,   552] loss: 0.435 time: 09-22-2019 - 07:48 AM
[1,   581] loss: 0.429 time: 09-22-2019 - 07:48 AM
[1,   610] loss: 0.425 time: 09-22-2019 - 07:49 AM
[1,   639] loss: 0.420 time: 09-22-2019 - 07:49 AM
[1,   668] loss: 0.414 time: 09-22-2019 - 07:49 AM
[1,   697] loss: 0.410 time: 09-22-2019 - 07:49 AM
[1,   726] loss: 0.408 time: 09-22-2019 - 07:50 AM
[1,   755] loss: 0.405 time: 09-22-2019 - 07:50 AM
[1,   784] loss: 0.402 time: 09-22-2019 - 07:50 AM
[1,   813] loss: 0.398 time: 09-22-2019 - 07:50 AM
[1,   842] loss: 0.395 time: 09-22-2019 - 07:51 AM
[1,   871] loss: 0.393 time: 09-22-2019 - 07:51 AM
[1,   900] loss: 0.390 time: 09-22-2019 - 07:51 AM
[1,   929] loss: 0.389 time: 09-22-2019 - 07:52 AM
[1,   958] loss: 0.387 time: 09-22-2019 - 07:52 AM
[1,   987] loss: 0.384 time: 09-22-2019 - 07:52 AM
[1,  1016] loss: 0.381 time: 09-22-2019 - 07:52 AM
[1,  1045] loss: 0.379 time: 09-22-2019 - 07:53 AM
[1,  1074] loss: 0.375 time: 09-22-2019 - 07:53 AM
[1,  1103] loss: 0.372 time: 09-22-2019 - 07:53 AM
[1,  1132] loss: 0.370 time: 09-22-2019 - 07:53 AM
[1,  1161] loss: 0.369 time: 09-22-2019 - 07:54 AM
[1,  1190] loss: 0.366 time: 09-22-2019 - 07:54 AM
[1,  1219] loss: 0.364 time: 09-22-2019 - 07:54 AM
[1,  1248] loss: 0.361 time: 09-22-2019 - 07:55 AM
[1,  1277] loss: 0.359 time: 09-22-2019 - 07:55 AM
[1,  1306] loss: 0.357 time: 09-22-2019 - 07:55 AM
[1,  1335] loss: 0.356 time: 09-22-2019 - 07:55 AM
[1,  1364] loss: 0.352 time: 09-22-2019 - 07:56 AM
[1,  1393] loss: 0.350 time: 09-22-2019 - 07:56 AM
[1,  1422] loss: 0.348 time: 09-22-2019 - 07:56 AM
[1,  1451] loss: 0.346 time: 09-22-2019 - 07:56 AM
[1,  1480] loss: 0.344 time: 09-22-2019 - 07:57 AM
[1,  1509] loss: 0.342 time: 09-22-2019 - 07:57 AM
[1,  1538] loss: 0.340 time: 09-22-2019 - 07:57 AM
